abaca	абака
aback	назад
abaction	крупная кража или угон скота
abacus	счеты
Abaddon	Авад(д)он (ангел бездны)
abaft	на корме
abandon	покидать
abandoned	заброшенный
abandonee	лицо
abandonment	оставление
abase	унижать
abasement	унижение
abash	обыкн. смущать
abashed	смущенный
abashment	смущение
abate	ослаблять
abatement	уменьшение
abatis	abatis засека
abattoir	скотобойня
abb	уток
abbacy	аббатство
abbess	аббатиса
abbey	аббатство
abbot	аббат
abbreviate	сокращать (текст и т. п.)
abbreviation	сокращение (текста и т. п.) , аббревиация
ABC	алфавит
ABC-book	букварь
abdicate	отрекаться (от престола)
abdication	отречение (от престола)
abdomen	брюшная полость
abdominal	абдоминальный
abdominous	толстый
abducent	отводящий (о мышце)
abduct	похищать
abduction	похищение
abductor	похититель (особ. женщины , ребенка)
abeam	на траверзе
abecedarian	расположенный в алфавитном порядке
abed	в постели	
Abel	Авель
Aberdeen	Абердин (графство и город)
aberdevine	чечетка (птица)
aberrance	отклонение от правильного пути
aberrancy	отклонение от правильного пути
aberrant	заблуждающийся
aberration	заблуждение
abet	подстрекать
abetment	подстрекательство
abettor	подстрекатель
abeyance	состояние неопределенности
abhor	питать отвращение
abhorrence	отвращение
abhorrent	вызывающий отвращение
abidance	соблюдение чего-л.
abide	и abode
abiding	постоянный
Abidjan	г. Абиджан
ability	способность
abject	жалкий
abjection	унижение
abjure	отрекаться
ablactation	отнятие (ребенка) от груди
ablation	удаление
ablative	аблатив
ablaut	абляут
ablaze	в огне
able	способный
able-bodied	крепкий
able-minded	умный
ablet	уклейка (Alburnus alburnus)
abloom	цветущий
ablush	в смущении
ablution	обыкн. омовение
ably	умело
abnegate	отказывать себе в чем-л.
abnormal	ненормальный
abnormality	неправильность
aboard	на борту (судна , самолета , поезда , автобуса и т. п.)
abode	жилище
abolish	отменять
abolishment	отмена
abolition	отмена
abolitionism	аболиционизм
abolitionist	сторонник отмены
abominable	отвратительный
abominate	питать отвращение
abomination	отвращение
aboriginal	исконный
aborigine	туземец
abort	аварийное прекращение (испытаний , полета , запуска и т. п.)
aborted	недоношенный
abortion	преждевременное прекращение беременности
abortionist	подпольный акушер
abortive	абортивное средство
abortively	неудачно
abound	быть в большом количестве
about	кругом
about-face	поворот кругом
about-ship	менять курс
about-sledge	кувалда
about-towner	завсегдатай ночных клубов
above	наверху
above-board	честный
above-ground	живущий
above-mentioned	вышеупомянутый
abracadabra	заклинание
abradant	абразив
abrade	стирать
Abraham	Эйбрахам
abranchiate	безжаберный
abrasion	стирание
abrasive	абразивный
abreast	в ряд	
abridge	сокращать
abridged	сокращенный
abroad	за границей
abrogate	отменять
abrogation	отмена
abrupt	внезапный
abruption	разрыв
abruptness	крутизна
abscess	абсцесс
abscissa	абсцисса
abscission	отнятие
abscond	скрываться (обыкн. с чужими деньгами)
abseil	спускаться на веревке (об альпинистах)
absence	отсутствие
absent	отсутствующий
absent-minded	рассеянный
absent-mindedness	рассеянность
absentee	отсутствующий
absenteeism	абсентеизм (уклонение от участия в выборах , отсутствие на заседаниях и т. п.)
absently	рассеянно
absolute	полный
absolutely	совершенно
absoluteness	безусловность
absolution	прощение
absolutism	абсолютизм
absolutist	сторонник абсолютизма
absolve	освобождать
absorb	всасывать
absorbent	всасывающий
absorber	поглотитель
absorbing	от absorb 2
absorption	всасывание
absorptive	впитывающий
absorptivity	поглотительная
abstain	воздерживаться (from)
abstainer	непьющий
